Palm_Position_X;Palm_Position_Y;Palm_Position_Z;Valid;Thumb;Spread;w01;w02;w03;w11;w12;w13;w21;w22;w23;w31;w32;w33;rock;paper;scissors
0,52938515;185,06178;-23,973286;1;10,008952;5,1034217;18,279371;4,1181808;4,542174;16,204475;8,462947;9,172091;13,015719;24,076038;30,753006;11,997415;23,216848;78,56096;0;1;0
0,5953541;185,13573;-23,957973;1;10,147979;4,5103235;18,498524;4,4244328;5,5302405;15,354484;8,003613;7,69164;12,73597;23,007008;27,267273;11,845731;25,015127;75,91208;0;1;0
0,6678209;185,14848;-23,931458;1;10,316905;3,8800478;18,657223;4,511843;5,87443;15,06765;7,699113;6,9288883;12,57821;22,690527;21,970642;11,9037695;26,797653;71,06349;0;1;0
0,72416174;185,14137;-23,930702;1;10,428094;3,3021526;18,70942;4,5117564;5,684617;15,0813055;7,2705736;6,256487;12,504811;22,572083;16,967995;12,086952;28,286272;65,46921;0;1;0
0,7725483;185,10521;-23,918116;1;10,507605;3,1981864;18,734613;4,523333;5,4270086;15,05857;7,1749053;5,987528;12,416208;22,276384;13,618297;12,273387;29,583197;60,931423;0;1;0
0,86299634;185,0057;-23,850906;1;10,203496;4,154731;18,522812;4,4241667;4,4989743;15,278659;7,9261265;5,4514356;12,535075;21,877422;13,005587;12,469874;29,452791;59,10264;0;1;0
0,956358;184,883;-23,778606;1;9,990484;4,843228;18,39149;4,3366632;4,0906973;15,429922;8,419606;5,058072;12,582255;21,474684;12,70405;12,546761;28,937729;59,79223;0;1;0
1,0347087;184,78365;-23,722282;1;9,836153;5,339536;18,340117;4,31257;3,9371123;15,54254;8,835001;5,339536;12,620248;21,445614;12,703973;12,552026;28,491701;61,840492;0;1;0
1,1109557;184,71817;-23,670053;1;9,877369;5,7264233;18,399902;4,27306;3,903947;15,618524;9,187974;5,7264233;12,627623;21,44794;12,698629;12,5741005;28,232588;62,570427;0;1;0
1,1756591;184,60934;-23,64714;1;10,262301;4,802731;18,674093;4,2752137;4,2682905;15,141657;8,329706;6,237311;12,418463;20,200457;13,019616;12,61232;28,21948;60,474613;0;1;0
1,2113329;184,50394;-23,652533;1;10,480642;3,9362667;18,86534;4,3372507;4,504196;14,886331;7,6677976;7,080945;12,110204;18,512823;16,68553;12,625404;28,91294;57,274773;0;1;0
1,2537582;184,3925;-23,652971;1;10,66664;4,091272;19,036295;4,3580184;4,5460105;14,211246;7,6507835;4,2630568;11,79951;16,831472;20,031311;12,714032;29,215475;54,069008;0;1;0
1,3050945;184,32602;-23,66908;1;10,7646475;4,450034;19,175741;4,5811634;4,7479663;13,938375;8,158391;4,450079;11,465492;15,946564;23,9577;12,697215;30,34289;51,797585;0;1;0
1,3734348;184,18597;-23,652199;1;10,744094;4,679521;19,188848;4,7901926;4,759834;13,756963;8,549917;4,679563;11,240359;15,313715;26,802757;12,524292;31,096415;49,564495;0;1;0
1,419577;184,11183;-23,601587;1;10,648821;4,7313924;19,088726;4,973427;4,668121;13,657;8,768245;4,7313924;11,120115;14,96419;28,961866;12,382316;31,66788;48,086067;0;1;0
1,4786378;184,02591;-23,583218;1;10,567176;4,774586;18,99074;5,1007338;4,683789;13,581233;8,921872;4,77475;11,044999;14,762383;30,15162;12,271845;32,115765;47,018684;0;1;0
1,523585;183,94447;-23,549686;1;10,475385;4,737847;18,905993;5,1663814;4,672567;13,5568075;8,947928;4,7381363;11,004335;14,688691;30,938875;12,204388;32,420593;46,544388;0;1;0
1,5901023;183,8373;-23,553303;1;10,553908;4,7253027;18,922302;5,2051096;4,859905;13,535433;8,954228;4,7256756;11,009595;14,982828;32,01743;12,167241;33,140438;46,682064;0;1;0
1,6215359;183,71729;-23,547745;1;10,577097;4,7991815;18,95944;5,208459;4,9865274;13,451848;9,011229;4,799141;11,078907;15,539468;33,013813;12,174515;33,726482;47,609135;0;1;0
1,6875504;183,64233;-23,455717;1;11,254962;4,5190873;19,121342;5,0500865;4,77475;13,762563;8,7219515;10,05694;11,360371;17,751972;36,583305;12,481969;38,96153;51,264908;0;1;0
1,7480421;183,60994;-23,393023;1;11,928677;4,3101625;19,309353;5,0457397;4,737268;14,1395235;8,670746;13,763768;11,561205;19,098434;37,49656;12,877925;43,62753;47,84114;0;1;0
1,8212432;183,59196;-23,310144;1;12,237912;4,7687154;19,40389;5,296351;4,8233266;14,516483;9,422999;15,781955;11,772908;20,14851;38,982643;13,36862;48,40498;42,741188;0;1;0
1,8581469;183,55698;-23,259237;1;12,41265;5,083265;19,471497;5,4779725;4,9825573;14,675217;9,904309;16,086342;11,802014;20,51991;39,143555;13,61248;51,124855;41,980488;0;1;0
1,8895794;183,52968;-23,216776;1;12,591063;5,1068377;19,566074;5,563346;5,064846;14,76635;10,012627;16,005241;11,810677;20,729395;39,30297;13,72732;52,398174;43,22023;0;1;0
1,9181626;183,54718;-23,205051;1;12,725091;5,2531476;19,657413;5,620473;5,0679016;14,848237;10,211802;15,945557;11,842088;20,967876;39,799385;13,81316;53,508995;44,30455;0;1;0
1,9660354;183,55147;-23,221106;1;12,770175;5,367939;19,725664;5,739893;5,142509;14,880653;10,426377;15,9577465;11,829916;21,11939;40,643246;13,834514;54,30352;45,004818;0;1;0
1,9828107;183,53836;-23,228912;1;12,793992;5,394086;19,801733;5,7901087;5,150618;14,902939;10,489987;15,771003;11,774081;21,063114;40,725475;13,8028145;54,30385;44,949688;0;1;0
1,9970578;183,50319;-23,236683;1;12,952381;5,2751093;19,898386;5,7577577;5,1117463;14,943293;10,346763;15,5949;11,72227;20,937145;40,672546;13,817379;53,993694;44,63383;0;1;0
2,0176535;183,49635;-23,239485;1;13,090914;5,1499333;19,979612;5,732683;5,058537;14,953818;10,211878;15,587264;11,698157;20,890696;40,802494;13,829843;53,32869;43,94931;0;1;0
