Hm;km;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;type;date;endtime;starttime;rider_weight;rider_height;ride_type
589,6;33,53692;491,4;55,458;272,6;48,76653425;48,70837935;9,561100993;9,463546034;25,58079845;Rennrad;07.04.2020;18:29:22;15:38:26;75;183;Training
398,4;26,15825;375,2;42,9624;258,8;48,71903376;48,67718644;9,564787522;9,468240486;19,86745169;Rennrad;15.05.2020;14:13:55;12:52:37;73;183;Training
291;25,71262;481,2;48,3048;271,4;48,76652713;48,7154753;9,561166959;9,490684876;27,45687574;Rennrad;07.05.2016;17:11:10;16:15:04;74;183;Training
684,6;50,13588;561,4;56,7;272;48,75779822;48,70778818;9,727233751;9,506604038;25,51229057;Rennrad;29.09.2019;14:58:44;12:34:30;73;183;Training
577;35,76091;396,6;51,8652;273;48,71719452;48,65235949;9,592695488;9,435017221;24,85450781;Rennrad;16.09.2018;17:10:56;15:34:29;70;183;Training
146,8;35,18156;309,8;42,5916;219,6;48,79829521;48,70365053;9,517359193;9,170432389;25,3861329;Rennrad;19.07.2019;08:51:16;07:29:42;73;183;Pendeln
454,4;22,03631;475,8;37,386;263,2;48,75377608;48,713956;9,551336411;9,489531862;18,00411948;Rennrad;05.05.2020;13:52:00;12:34:17;73;183;Training
304;21,71411;433,8;42,39;209,2;44,12524623;44,06705017;5,239868648;5,17620977;20,28861593;Rennrad;19.06.2019;08:53:36;07:31:59;73;183;Training
765,8;74,80448;478,8;54,7524;227,2;48,81370299;48,7077979;9,723590054;9,460447663;26,58221121;Rennrad;13.10.2019;15:27:02;12:26:49;74;183;Training
669,4;45,49481;486,4;53,1396;278,4;48,76670005;48,71548109;9,561228817;9,490549592;26,38648702;Rennrad;08.06.2018;16:19:26;14:12:21;73;183;Training
666,2;91,26916;75,8;48,7404;-6,4;54,24595753;54,01780766;10,98623073;10,70098023;24,59398462;Rennrad;07.05.2019;15:01:07;10:02:18;74;183;Training
143,6;35,04073;308,6;45,7488;223,2;48,79826688;48,70364542;9,517034814;9,170975285;25,35957427;Rennrad;20.07.2018;08:26:00;07:04:38;73;183;Pendeln
629,2;65,10801;517,6;56,9016;287,2;48,79331594;48,7078062;9,743466312;9,51484764;27,22714304;Rennrad;05.07.2020;12:00:28;09:28:04;73;183;Training
336,8;14,29274;444,8;39,5352;256,8;48,74680141;48,71395089;9,517258443;9,48043339;18,13519651;Rennrad;27.03.2020;16:02:53;15:10:48;75;183;Training
361,2;33,37056;399,8;48,3048;282,2;48,72038199;48,66375485;9,625135129;9,514844706;25,61716558;Rennrad;14.07.2020;19:08:58;17:47:00;73;183;Training
295,2;24,19588;487,6;58,7484;269,6;48,76654859;48,71545125;9,561059922;9,490533667;27,6583126;Rennrad;02.11.2018;16:38:06;15:40:57;75;183;Training
1086,2;46,18305;483,2;57,474;303,8;48,7662092;48,71640804;9,519556677;9,49073324;25,76721558;Rennrad;17.08.2019;17:48:52;15:37:52;73;183;Training
470,8;53,30381;498,8;48,7404;267,2;48,78594968;48,70777728;9,704753067;9,514832972;25,90429383;Rennrad;13.07.2020;18:13:46;16:03:34;73;183;Training
879,4;59,08573;445,4;56,9016;205,4;48,7915995;48,70362103;9,561099317;9,404816888;26,00288069;Rennrad;12.03.2017;14:27:18;11:55:42;75;183;Training
753,6;45,43243;428,6;49,95;103;49,99136944;49,88884519;7,130330717;6,996158995;25,22241921;Rennrad;10.09.2017;10:44:08;08:46:42;73;183;Training
1253,4;157,52394;81;46,7244;-13,2;54,40226569;54,02702951;10,75753268;10,12027829;23,13495759;Rennrad;05.05.2019;19:05:08;06:12:52;74;183;Training
841;40,62051;495,4;50,7888;245;48,79753942;48,71704892;9,51958417;9,404855277;25,08520169;Rennrad;11.06.2020;17:54:49;16:05:10;73;183;Training
294,8;11,57499;518,6;43,5348;325,4;48,74686989;48,71483618;9,517123997;9,492012402;18,52118503;Rennrad;25.03.2020;13:07:09;12:21:12;75;183;Training
288,6;24,45014;455,2;59,724;243;48,76644247;48,71543038;9,561146758;9,490566524;29,1802124;Rennrad;04.11.2017;17:10:13;16:15:06;74;183;Training
2075,2;100,38474;2745,4;57,1392;625,4;46,6579894;46,52864993;11,03300686;10,45283684;25,19073708;Rennrad;07.08.2018;15:20:24;09:54:35;73;183;Training
258,2;35,17767;417,6;38,16;322;48,79829471;48,70368993;9,517198093;9,172273809;21,320625;Rennrad;03.04.2017;18:48:21;17:07:47;75;183;Training
